31,26,19,16,30,34,35,46,26,26,33,27,31,37,15,10,14,17,172
10,2,15,5,3,7,7,13,24,13,12,14,8,27,28,30,22,13,116
44,47,57,67,61,57,60,55,79,104,98,78,49,97,81,82,79,64,528
3,4,4,7,10,6,14,5,12,11,11,8,13,17,13,9,9,8,72
32,38,35,30,15,14,38,37,56,52,43,26,30,34,43,31,35,25,254
31,35,31,36,36,39,42,61,68,67,51,51,42,69,39,37,41,34,374
26,20,27,31,33,44,33,35,46,30,37,25,23,33,21,27,31,28,239
30,36,53,55,52,37,58,66,86,86,57,78,76,100,80,67,73,68,515
22,27,15,16,25,25,20,28,42,34,37,35,38,52,45,35,27,35,264
41,28,31,43,66,58,56,72,73,106,83,87,82,82,71,43,52,66,554
45,47,53,91,85,82,73,65,99,125,104,95,66,84,78,102,63,67,623
38,37,48,47,52,51,47,63,69,81,67,80,53,65,40,65,38,48,430
36,40,36,44,37,26,41,58,60,59,52,47,51,83,64,49,50,51,376
30,41,28,27,30,31,63,41,50,43,54,46,38,50,33,44,39,24,301
17,31,33,36,28,30,26,35,40,48,60,44,36,43,32,48,43,33,297
14,9,10,13,13,9,15,13,17,14,20,10,11,13,9,9,9,15,97
11,12,13,11,28,23,23,16,33,21,32,14,24,22,20,19,17,12,170
37,26,22,30,46,49,54,33,68,51,47,45,45,79,52,40,48,49,394
31,20,28,53,64,44,29,36,55,71,77,66,49,79,48,56,46,62,417
0,0,0,0,1,2,1,1,1,2,2,2,1,2,2,2,1,0,12
36,35,30,41,50,58,52,51,72,73,61,60,55,66,51,63,34,31,442
38,17,21,21,8,21,36,25,31,38,32,13,5,12,5,8,10,6,129
112,139,138,142,116,161,170,189,251,230,153,185,186,239,162,185,127,126,1211
125,133,189,165,141,148,172,203,245,288,201,224,179,268,199,177,174,167,1424
3,6,5,3,6,11,3,14,14,10,9,16,12,16,24,19,7,7,74
35,47,27,33,28,27,43,56,64,45,39,49,48,47,44,52,44,39,314
33,29,39,35,33,52,60,48,57,75,65,73,78,108,81,77,56,55,447
14,16,27,31,32,23,30,32,40,61,44,52,54,58,45,39,34,37,287
6,9,11,15,11,10,6,14,25,28,14,22,15,39,25,28,16,11,132
25,34,41,50,42,38,30,55,70,63,63,41,51,94,60,40,42,41,378
27,26,34,42,38,41,41,48,71,66,53,56,61,95,58,60,44,42,428
11,14,29,30,34,29,24,37,46,43,45,54,51,76,58,52,34,49,257
117,155,179,201,154,130,179,212,264,273,227,220,214,348,270,233,160,149,1397
13,17,14,20,21,13,17,23,41,30,25,27,26,40,37,26,21,28,171
14,20,27,32,30,29,21,34,42,51,44,56,48,70,49,51,42,34,266
11,9,10,12,19,16,14,10,13,20,24,19,23,25,23,20,18,23,101
47,46,59,51,46,47,47,92,81,63,51,64,66,107,94,47,48,48,372
3,5,9,7,10,5,8,13,10,15,11,10,13,26,21,25,6,5,85
5,11,10,18,10,15,7,4,15,27,24,14,13,21,15,24,17,19,84
49,66,73,67,66,64,78,99,120,116,74,82,149,212,149,86,53,56,617
7,16,11,16,23,21,20,30,22,22,37,42,35,57,26,37,32,58,189
17,36,35,36,44,26,34,43,52,46,49,43,62,88,51,46,34,38,291
14,10,8,8,13,20,21,16,20,29,26,23,35,38,32,27,18,20,148
14,9,27,27,21,20,28,28,36,40,50,43,50,84,63,50,62,49,289
158,161,183,253,239,233,265,243,308,344,311,325,339,428,291,286,205,186,1998
28,26,36,55,36,28,38,57,71,78,90,68,87,109,97,74,73,76,486
14,13,15,10,9,10,19,13,25,15,12,22,28,32,29,27,29,101,242
67,63,58,28,30,57,77,74,67,60,47,51,63,83,25,36,34,29,351
6,3,4,13,9,7,11,4,12,16,7,13,21,14,20,12,8,9,74
134,147,198,197,186,168,158,203,292,269,245,201,203,322,208,161,121,113,1380
75,87,64,75,77,90,104,124,130,130,113,132,170,200,130,112,55,70,742
10,11,10,7,12,8,13,16,25,15,12,20,33,36,17,15,10,9,108
26,34,37,52,55,57,47,45,65,73,73,97,117,147,92,108,65,95,491
13,14,14,18,28,20,26,38,41,45,29,65,65,85,41,36,19,43,314
7,7,8,5,6,8,15,5,15,7,14,16,28,21,14,11,16,13,78
24,36,60,53,39,52,48,46,61,64,59,77,97,124,68,72,45,66,384
5,6,9,11,4,4,5,14,15,8,15,11,18,20,13,12,14,15,78
4,4,5,10,10,5,11,7,4,20,12,16,20,30,19,15,11,25,97
9,17,11,14,5,15,19,18,19,13,15,36,31,42,29,27,23,25,137
7,6,5,3,7,11,5,16,10,6,9,16,17,23,10,10,15,8,81
0,1,2,3,2,1,5,2,3,7,4,7,8,11,11,5,7,10,35
6,4,6,7,9,12,6,10,9,9,15,19,10,16,11,16,11,14,62
0,3,1,0,0,0,1,3,6,0,4,3,3,7,6,2,2,3,19
11,20,26,23,52,49,31,31,52,73,76,97,104,97,78,78,53,65,492
2,5,11,8,12,8,8,15,13,22,24,10,20,36,23,23,17,21,106
5,14,3,13,6,5,7,9,12,9,12,12,11,16,14,7,9,14,60
6,3,5,25,10,4,15,13,20,22,18,17,14,49,30,12,12,19,102
5,2,5,4,3,3,9,15,13,8,8,12,14,24,14,18,19,7,111
4,5,2,5,4,3,5,4,2,2,11,7,8,8,6,6,5,10,48
4,7,5,4,6,2,5,7,17,11,11,9,11,10,16,4,14,7,74
37,47,46,50,58,33,48,78,92,89,65,83,99,109,96,66,55,96,580
11,25,33,21,20,20,14,29,39,64,33,38,36,45,40,45,36,41,263
15,33,36,35,27,24,37,43,60,64,39,52,61,80,57,38,39,66,376
39,67,74,74,65,48,60,92,130,127,126,89,133,190,136,129,104,154,808
28,67,63,58,32,42,29,56,90,91,69,68,61,74,49,30,39,58,407
62,76,58,63,76,76,76,103,101,103,93,122,111,123,99,66,64,104,692
7,8,14,16,13,21,11,20,33,43,30,25,25,39,27,21,19,27,215
45,62,43,67,45,69,65,88,110,109,95,86,76,97,71,60,54,65,673
25,24,31,26,44,45,60,60,63,69,64,52,46,62,41,54,27,58,460
